frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
52.51,2.36,1.02,2.37,1.02,-1.02,-1.11,-1.61,1.34,1.34,1.35
53.03,2.42,1.10,2.42,1.10,-1.11,-1.16,-1.69,1.32,1.31,1.33
53.56,2.48,1.20,2.48,1.19,-1.19,-1.22,-1.77,1.29,1.28,1.29
54.10,2.53,1.28,2.54,1.28,-1.28,-1.27,-1.84,1.25,1.25,1.25
54.64,2.59,1.37,2.59,1.38,-1.38,-1.33,-1.92,1.22,1.22,1.22
55.18,2.65,1.48,2.65,1.47,-1.47,-1.39,-1.99,1.18,1.18,1.18
55.74,2.71,1.57,2.71,1.56,-1.56,-1.44,-2.07,1.15,1.15,1.15
56.29,2.77,1.65,2.77,1.65,-1.65,-1.50,-2.14,1.13,1.13,1.12
56.86,2.83,1.73,2.83,1.74,-1.73,-1.56,-2.21,1.10,1.10,1.10
57.42,2.89,1.83,2.89,1.82,-1.82,-1.62,-2.27,1.08,1.08,1.06
58.00,2.95,1.91,2.95,1.91,-1.90,-1.68,-2.34,1.05,1.05,1.04
58.58,3.00,1.98,3.01,1.98,-1.98,-1.74,-2.40,1.02,1.02,1.03
59.16,3.06,2.06,3.06,2.06,-2.07,-1.80,-2.46,0.99,0.99,1.00
59.76,3.12,2.14,3.12,2.14,-2.16,-1.86,-2.51,0.96,0.96,0.98
60.35,3.17,2.24,3.18,2.24,-2.25,-1.92,-2.57,0.93,0.93,0.94
60.96,3.23,2.33,3.23,2.34,-2.34,-1.98,-2.62,0.89,0.90,0.90
61.57,3.29,2.44,3.29,2.43,-2.43,-2.04,-2.67,0.86,0.86,0.86
62.18,3.34,2.53,3.34,2.53,-2.52,-2.10,-2.71,0.83,0.82,0.81
62.80,3.38,2.61,3.39,2.61,-2.60,-2.16,-2.76,0.78,0.78,0.77
63.43,3.43,2.69,3.43,2.69,-2.69,-2.23,-2.79,0.74,0.75,0.74
64.07,3.48,2.77,3.48,2.77,-2.77,-2.29,-2.83,0.71,0.71,0.71
64.71,3.53,2.85,3.53,2.85,-2.85,-2.35,-2.87,0.69,0.68,0.68
65.35,3.57,2.92,3.57,2.92,-2.92,-2.42,-2.90,0.65,0.65,0.66
66.01,3.61,2.99,3.62,2.99,-2.99,-2.48,-2.93,0.62,0.62,0.63
66.67,3.66,3.05,3.66,3.06,-3.06,-2.55,-2.95,0.60,0.60,0.61
67.33,3.70,3.13,3.70,3.13,-3.13,-2.61,-2.98,0.57,0.57,0.57
68.01,3.74,3.20,3.74,3.20,-3.20,-2.68,-3.00,0.54,0.55,0.54
68.69,3.78,3.27,3.78,3.27,-3.26,-2.74,-3.02,0.52,0.52,0.51
69.37,3.81,3.33,3.81,3.33,-3.33,-2.81,-3.04,0.48,0.48,0.49
70.07,3.84,3.39,3.84,3.39,-3.40,-2.88,-3.06,0.45,0.45,0.45
70.77,3.87,3.45,3.88,3.45,-3.46,-2.94,-3.08,0.41,0.41,0.42
71.48,3.91,3.52,3.91,3.52,-3.52,-3.01,-3.10,0.39,0.39,0.39
72.19,3.94,3.59,3.94,3.59,-3.58,-3.08,-3.12,0.36,0.36,0.36
72.91,3.97,3.65,3.97,3.65,-3.64,-3.15,-3.14,0.33,0.33,0.32
73.64,3.99,3.71,4.00,3.71,-3.70,-3.21,-3.16,0.29,0.29,0.29
74.38,4.02,3.76,4.02,3.76,-3.76,-3.28,-3.18,0.26,0.26,0.26
75.12,4.05,3.82,4.05,3.81,-3.81,-3.35,-3.20,0.24,0.24,0.24
75.87,4.07,3.85,4.08,3.86,-3.86,-3.42,-3.22,0.21,0.21,0.22
76.63,4.10,3.91,4.10,3.91,-3.91,-3.49,-3.24,0.19,0.19,0.19
77.40,4.12,3.95,4.12,3.95,-3.95,-3.56,-3.26,0.17,0.17,0.17
78.17,4.15,4.01,4.15,4.00,-4.00,-3.62,-3.29,0.15,0.15,0.15
78.95,4.17,4.04,4.17,4.04,-4.04,-3.69,-3.32,0.13,0.13,0.14
79.74,4.20,4.09,4.20,4.09,-4.09,-3.76,-3.34,0.12,0.12,0.12
80.54,4.22,4.13,4.23,4.13,-4.13,-3.83,-3.38,0.10,0.10,0.10
81.35,4.25,4.18,4.25,4.17,-4.17,-3.90,-3.41,0.08,0.08,0.08
82.16,4.27,4.21,4.27,4.21,-4.21,-3.97,-3.45,0.06,0.06,0.06
82.98,4.29,4.25,4.29,4.25,-4.25,-4.04,-3.48,0.04,0.04,0.04
83.81,4.31,4.29,4.31,4.29,-4.29,-4.10,-3.52,0.02,0.02,0.02
84.65,4.33,4.33,4.33,4.34,-4.34,-4.17,-3.57,-0.00,-0.00,-0.00
85.50,4.35,4.38,4.36,4.38,-4.38,-4.24,-3.61,-0.02,-0.02,-0.03
86.35,4.38,4.42,4.38,4.42,-4.42,-4.30,-3.66,-0.03,-0.04,-0.04
87.22,4.40,4.46,4.40,4.46,-4.46,-4.37,-3.72,-0.05,-0.05,-0.05
88.09,4.42,4.50,4.42,4.50,-4.50,-4.44,-3.77,-0.07,-0.08,-0.08
88.97,4.43,4.53,4.44,4.53,-4.53,-4.50,-3.83,-0.10,-0.10,-0.09
89.86,4.45,4.57,4.45,4.57,-4.57,-4.56,-3.89,-0.12,-0.12,-0.12
90.76,4.47,4.61,4.47,4.61,-4.61,-4.63,-3.95,-0.14,-0.14,-0.14
91.66,4.49,4.66,4.49,4.65,-4.65,-4.69,-4.02,-0.16,-0.16,-0.16
92.58,4.51,4.69,4.51,4.69,-4.69,-4.75,-4.09,-0.18,-0.18,-0.18
93.51,4.53,4.73,4.53,4.73,-4.73,-4.81,-4.16,-0.20,-0.20,-0.20
94.44,4.55,4.77,4.55,4.77,-4.77,-4.87,-4.23,-0.22,-0.22,-0.21
95.39,4.57,4.81,4.57,4.81,-4.82,-4.93,-4.31,-0.24,-0.24,-0.24
96.34,4.59,4.86,4.59,4.85,-4.86,-4.99,-4.39,-0.26,-0.27,-0.27
97.30,4.60,4.89,4.60,4.90,-4.90,-5.05,-4.47,-0.29,-0.29,-0.29
98.28,4.61,4.93,4.62,4.94,-4.93,-5.10,-4.56,-0.32,-0.32,-0.32
99.26,4.63,4.98,4.63,4.97,-4.97,-5.15,-4.64,-0.34,-0.34,-0.35
100.25,4.64,5.01,4.65,5.01,-5.00,-5.21,-4.73,-0.36,-0.36,-0.37
101.25,4.66,5.04,4.66,5.04,-5.04,-5.26,-4.82,-0.37,-0.38,-0.37
102.27,4.67,5.07,4.67,5.07,-5.07,-5.31,-4.91,-0.39,-0.39,-0.39
103.29,4.68,5.10,4.69,5.10,-5.10,-5.35,-5.01,-0.41,-0.41,-0.41
104.32,4.70,5.13,4.70,5.12,-5.13,-5.40,-5.10,-0.42,-0.43,-0.42
105.37,4.71,5.15,4.71,5.15,-5.16,-5.44,-5.19,-0.44,-0.44,-0.44
106.42,4.72,5.17,4.73,5.18,-5.18,-5.49,-5.29,-0.46,-0.46,-0.45
107.48,4.74,5.22,4.74,5.21,-5.21,-5.53,-5.38,-0.47,-0.48,-0.48
108.56,4.75,5.24,4.75,5.24,-5.24,-5.57,-5.47,-0.49,-0.49,-0.49
109.64,4.76,5.27,4.77,5.28,-5.27,-5.60,-5.56,-0.51,-0.51,-0.51
110.74,4.78,5.31,4.78,5.31,-5.31,-5.64,-5.65,-0.52,-0.53,-0.53
111.85,4.79,5.34,4.79,5.34,-5.34,-5.67,-5.74,-0.55,-0.55,-0.55
112.97,4.80,5.37,4.81,5.37,-5.38,-5.70,-5.82,-0.57,-0.57,-0.57
114.10,4.82,5.41,4.82,5.41,-5.41,-5.73,-5.90,-0.59,-0.59,-0.59
115.24,4.83,5.45,4.83,5.45,-5.45,-5.76,-5.98,-0.62,-0.62,-0.61
116.39,4.85,5.49,4.85,5.49,-5.49,-5.78,-6.05,-0.63,-0.63,-0.64
117.55,4.86,5.52,4.87,5.53,-5.52,-5.81,-6.12,-0.66,-0.66,-0.66
118.73,4.88,5.57,4.88,5.56,-5.56,-5.83,-6.18,-0.67,-0.68,-0.69
119.92,4.89,5.60,4.89,5.59,-5.59,-5.85,-6.23,-0.70,-0.70,-0.70
121.12,4.90,5.61,4.90,5.62,-5.62,-5.87,-6.28,-0.72,-0.72,-0.71
122.33,4.91,5.65,4.92,5.65,-5.65,-5.88,-6.33,-0.74,-0.74,-0.74
123.55,4.93,5.68,4.93,5.68,-5.68,-5.90,-6.36,-0.75,-0.76,-0.75
124.79,4.94,5.71,4.94,5.71,-5.72,-5.91,-6.39,-0.77,-0.77,-0.77
126.03,4.95,5.74,4.95,5.75,-5.75,-5.92,-6.41,-0.80,-0.79,-0.79
127.29,4.96,5.78,4.96,5.78,-5.78,-5.93,-6.43,-0.82,-0.82,-0.82
128.57,4.97,5.81,4.97,5.81,-5.81,-5.93,-6.44,-0.84,-0.84,-0.84
129.85,4.98,5.85,4.98,5.85,-5.85,-5.94,-6.44,-0.86,-0.86,-0.86
131.15,4.99,5.88,4.99,5.88,-5.88,-5.95,-6.44,-0.89,-0.89,-0.89
132.46,5.00,5.91,5.00,5.91,-5.91,-5.95,-6.43,-0.91,-0.91,-0.91
133.79,5.00,5.93,5.01,5.94,-5.94,-5.95,-6.41,-0.93,-0.93,-0.93
135.12,5.01,5.97,5.01,5.96,-5.96,-5.95,-6.39,-0.95,-0.95,-0.95
136.48,5.02,5.99,5.02,5.99,-5.99,-5.95,-6.37,-0.97,-0.97,-0.96
137.84,5.02,6.01,5.02,6.01,-6.01,-5.95,-6.34,-0.99,-0.99,-0.98
139.22,5.02,6.04,5.02,6.03,-6.03,-5.95,-6.31,-1.01,-1.01,-1.01
140.61,5.02,6.05,5.02,6.05,-6.05,-5.95,-6.28,-1.02,-1.02,-1.02
142.02,5.02,6.06,5.02,6.07,-6.06,-5.95,-6.24,-1.04,-1.04,-1.04
143.44,5.02,6.08,5.02,6.08,-6.08,-5.95,-6.21,-1.06,-1.06,-1.06
144.87,5.02,6.09,5.02,6.09,-6.10,-5.95,-6.17,-1.07,-1.07,-1.07
146.32,5.02,6.11,5.02,6.11,-6.11,-5.94,-6.13,-1.09,-1.09,-1.08
147.78,5.02,6.12,5.02,6.12,-6.12,-5.94,-6.09,-1.10,-1.10,-1.10
149.26,5.02,6.14,5.02,6.14,-6.14,-5.94,-6.06,-1.12,-1.12,-1.12
150.75,5.02,6.16,5.02,6.16,-6.16,-5.94,-6.02,-1.13,-1.13,-1.14
152.26,5.02,6.17,5.02,6.17,-6.17,-5.94,-5.99,-1.15,-1.15,-1.15
153.78,5.02,6.19,5.02,6.19,-6.19,-5.93,-5.95,-1.17,-1.17,-1.17
155.32,5.02,6.20,5.02,6.21,-6.21,-5.93,-5.92,-1.19,-1.19,-1.18
156.88,5.02,6.23,5.02,6.23,-6.23,-5.94,-5.89,-1.21,-1.21,-1.21
158.44,5.02,6.25,5.02,6.25,-6.25,-5.94,-5.87,-1.23,-1.23,-1.23
160.03,5.02,6.27,5.02,6.27,-6.27,-5.94,-5.85,-1.25,-1.25,-1.25
161.63,5.02,6.29,5.02,6.29,-6.29,-5.95,-5.83,-1.27,-1.27,-1.27
163.24,5.02,6.32,5.02,6.32,-6.32,-5.95,-5.81,-1.30,-1.30,-1.30
164.88,5.02,6.34,5.02,6.34,-6.34,-5.96,-5.80,-1.32,-1.32,-1.32
166.53,5.02,6.37,5.02,6.37,-6.37,-5.97,-5.80,-1.35,-1.35,-1.35
168.19,5.02,6.39,5.02,6.39,-6.39,-5.98,-5.79,-1.37,-1.37,-1.37
169.87,5.02,6.42,5.02,6.42,-6.42,-5.99,-5.79,-1.40,-1.39,-1.40
171.57,5.02,6.45,5.02,6.44,-6.44,-6.01,-5.80,-1.42,-1.42,-1.42
173.29,5.02,6.47,5.02,6.47,-6.47,-6.03,-5.81,-1.44,-1.45,-1.45
175.02,5.01,6.49,5.02,6.49,-6.49,-6.05,-5.82,-1.48,-1.48,-1.48
176.77,5.01,6.52,5.01,6.51,-6.52,-6.07,-5.84,-1.50,-1.51,-1.50
178.54,5.00,6.53,5.01,6.54,-6.54,-6.10,-5.87,-1.54,-1.53,-1.53
180.32,5.00,6.57,5.00,6.56,-6.56,-6.12,-5.89,-1.56,-1.56,-1.56
182.13,5.00,6.59,5.00,6.59,-6.59,-6.15,-5.92,-1.58,-1.59,-1.59
183.95,4.99,6.60,5.00,6.61,-6.61,-6.19,-5.96,-1.62,-1.61,-1.61
185.79,4.99,6.64,4.99,6.63,-6.63,-6.22,-6.00,-1.64,-1.64,-1.65
187.65,4.98,6.65,4.98,6.66,-6.66,-6.26,-6.05,-1.68,-1.67,-1.67
189.52,4.98,6.68,4.98,6.68,-6.68,-6.30,-6.10,-1.70,-1.70,-1.70
191.42,4.97,6.70,4.98,6.70,-6.71,-6.34,-6.15,-1.73,-1.73,-1.73
193.33,4.97,6.73,4.97,6.73,-6.73,-6.39,-6.20,-1.76,-1.76,-1.76
195.27,4.97,6.76,4.97,6.76,-6.75,-6.44,-6.27,-1.78,-1.79,-1.79
197.22,4.96,6.78,4.97,6.78,-6.78,-6.49,-6.33,-1.82,-1.81,-1.82
199.19,4.96,6.80,4.96,6.80,-6.80,-6.54,-6.40,-1.84,-1.84,-1.84
201.18,4.95,6.82,4.95,6.82,-6.83,-6.60,-6.47,-1.87,-1.87,-1.87
203.19,4.95,6.84,4.95,6.84,-6.85,-6.65,-6.54,-1.90,-1.90,-1.89
205.23,4.95,6.86,4.95,6.87,-6.87,-6.71,-6.61,-1.92,-1.92,-1.91
207.28,4.95,6.88,4.95,6.89,-6.89,-6.77,-6.69,-1.93,-1.93,-1.93
209.35,4.95,6.91,4.95,6.91,-6.90,-6.83,-6.76,-1.95,-1.95,-1.96
211.44,4.94,6.92,4.94,6.92,-6.91,-6.89,-6.84,-1.97,-1.97,-1.98
213.56,4.93,6.93,4.93,6.93,-6.93,-6.95,-6.92,-1.99,-2.00,-2.00
215.69,4.91,6.93,4.92,6.93,-6.94,-7.00,-6.99,-2.02,-2.02,-2.02
217.85,4.90,6.94,4.90,6.94,-6.94,-7.06,-7.07,-2.04,-2.04,-2.03
220.03,4.88,6.94,4.89,6.94,-6.95,-7.11,-7.14,-2.07,-2.06,-2.06
222.23,4.87,6.95,4.87,6.95,-6.95,-7.16,-7.21,-2.08,-2.08,-2.08
224.45,4.86,6.96,4.86,6.96,-6.95,-7.20,-7.28,-2.09,-2.10,-2.10
226.70,4.84,6.96,4.85,6.96,-6.96,-7.24,-7.34,-2.11,-2.11,-2.11
228.96,4.83,6.95,4.83,6.95,-6.96,-7.27,-7.39,-2.12,-2.13,-2.12
231.25,4.81,6.95,4.81,6.95,-6.95,-7.30,-7.44,-2.14,-2.14,-2.14
233.57,4.79,6.94,4.79,6.95,-6.95,-7.31,-7.48,-2.15,-2.15,-2.15
235.90,4.77,6.94,4.77,6.94,-6.94,-7.32,-7.52,-2.16,-2.16,-2.17
238.26,4.75,6.94,4.75,6.93,-6.92,-7.32,-7.54,-2.17,-2.17,-2.18
240.64,4.72,6.90,4.72,6.91,-6.91,-7.31,-7.56,-2.18,-2.19,-2.18
243.05,4.68,6.88,4.69,6.88,-6.89,-7.29,-7.56,-2.20,-2.20,-2.20
245.48,4.65,6.86,4.65,6.86,-6.86,-7.26,-7.56,-2.21,-2.21,-2.21
247.93,4.61,6.84,4.62,6.83,-6.83,-7.21,-7.54,-2.22,-2.22,-2.23
250.41,4.58,6.80,4.58,6.81,-6.80,-7.16,-7.51,-2.22,-2.22,-2.22
252.92,4.54,6.77,4.54,6.77,-6.77,-7.09,-7.47,-2.23,-2.23,-2.22
255.45,4.50,6.74,4.50,6.73,-6.74,-7.02,-7.42,-2.23,-2.24,-2.24
258.00,4.45,6.70,4.45,6.70,-6.70,-6.94,-7.36,-2.24,-2.24,-2.24
260.58,4.40,6.65,4.41,6.66,-6.65,-6.84,-7.29,-2.25,-2.25,-2.25
263.19,4.36,6.61,4.36,6.61,-6.61,-6.74,-7.20,-2.25,-2.25,-2.25
265.82,4.31,6.57,4.31,6.56,-6.56,-6.63,-7.11,-2.25,-2.25,-2.26
268.48,4.25,6.51,4.25,6.51,-6.51,-6.52,-7.01,-2.26,-2.26,-2.26
271.16,4.18,6.44,4.19,6.45,-6.46,-6.39,-6.90,-2.27,-2.27,-2.26
273.87,4.12,6.39,4.12,6.39,-6.40,-6.27,-6.78,-2.27,-2.27,-2.27
276.61,4.06,6.33,4.06,6.34,-6.33,-6.14,-6.65,-2.27,-2.27,-2.27
279.38,4.00,6.28,4.00,6.28,-6.27,-6.00,-6.52,-2.27,-2.27,-2.28
282.17,3.93,6.21,3.93,6.20,-6.20,-5.86,-6.39,-2.27,-2.27,-2.28
284.99,3.85,6.12,3.85,6.12,-6.12,-5.72,-6.25,-2.27,-2.27,-2.27
287.84,3.77,6.03,3.77,6.04,-6.05,-5.58,-6.10,-2.27,-2.27,-2.26
290.72,3.69,5.97,3.70,5.96,-5.97,-5.44,-5.96,-2.27,-2.27,-2.27
293.63,3.62,5.89,3.62,5.88,-5.88,-5.30,-5.81,-2.26,-2.26,-2.27
296.57,3.53,5.79,3.53,5.79,-5.79,-5.16,-5.66,-2.26,-2.26,-2.26
299.53,3.43,5.69,3.44,5.70,-5.69,-5.02,-5.50,-2.26,-2.26,-2.26
302.53,3.34,5.60,3.34,5.60,-5.60,-4.89,-5.35,-2.26,-2.26,-2.25
305.55,3.24,5.50,3.24,5.50,-5.50,-4.75,-5.20,-2.26,-2.26,-2.26
308.61,3.15,5.40,3.15,5.40,-5.40,-4.62,-5.05,-2.25,-2.25,-2.25
311.69,3.04,5.29,3.04,5.29,-5.29,-4.49,-4.89,-2.25,-2.25,-2.25
314.81,2.94,5.18,2.94,5.18,-5.19,-4.36,-4.74,-2.24,-2.25,-2.24
317.96,2.83,5.08,2.84,5.08,-5.08,-4.23,-4.59,-2.25,-2.24,-2.24
321.14,2.73,4.97,2.73,4.97,-4.97,-4.11,-4.44,-2.23,-2.23,-2.24
324.35,2.62,4.86,2.62,4.85,-4.85,-3.98,-4.30,-2.23,-2.23,-2.24
327.59,2.51,4.73,2.51,4.74,-4.73,-3.87,-4.15,-2.22,-2.22,-2.22
330.87,2.39,4.61,2.39,4.61,-4.61,-3.75,-4.01,-2.22,-2.22,-2.22
334.18,2.27,4.49,2.27,4.49,-4.49,-3.64,-3.87,-2.22,-2.22,-2.22
337.52,2.15,4.37,2.15,4.37,-4.37,-3.53,-3.73,-2.21,-2.21,-2.21
340.90,2.03,4.24,2.03,4.24,-4.24,-3.42,-3.59,-2.21,-2.21,-2.20
344.30,1.91,4.11,1.91,4.11,-4.11,-3.31,-3.46,-2.20,-2.20,-2.20
