frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
24.40,0.01,-4.17,0.01,-4.17,4.16,4.35,2.97,4.17,4.17,4.18
24.65,0.06,-4.12,0.06,-4.12,4.11,4.31,3.06,4.18,4.18,4.18
24.89,0.12,-4.07,0.12,-4.07,4.06,4.27,3.14,4.18,4.18,4.18
25.14,0.17,-4.01,0.17,-4.01,4.01,4.23,3.22,4.18,4.18,4.18
25.39,0.22,-3.96,0.22,-3.96,3.96,4.19,3.31,4.18,4.18,4.18
25.65,0.27,-3.91,0.27,-3.91,3.91,4.15,3.39,4.18,4.18,4.18
25.91,0.33,-3.85,0.33,-3.85,3.86,4.11,3.47,4.18,4.18,4.18
26.16,0.38,-3.81,0.38,-3.80,3.80,4.07,3.56,4.18,4.18,4.19
26.43,0.43,-3.75,0.43,-3.75,3.75,4.02,3.64,4.19,4.19,4.19
26.69,0.48,-3.70,0.48,-3.71,3.71,3.98,3.72,4.19,4.19,4.18
26.96,0.53,-3.66,0.53,-3.66,3.66,3.93,3.80,4.18,4.19,4.18
27.23,0.57,-3.61,0.57,-3.61,3.61,3.89,3.87,4.18,4.18,4.18
27.50,0.62,-3.57,0.62,-3.57,3.57,3.84,3.95,4.18,4.18,4.18
27.77,0.66,-3.53,0.66,-3.53,3.53,3.79,4.02,4.19,4.19,4.19
28.05,0.70,-3.48,0.70,-3.48,3.48,3.74,4.08,4.19,4.19,4.19
28.33,0.75,-3.44,0.75,-3.44,3.44,3.69,4.14,4.19,4.19,4.19
28.62,0.79,-3.40,0.79,-3.40,3.40,3.64,4.20,4.19,4.19,4.19
28.90,0.83,-3.36,0.83,-3.36,3.36,3.59,4.25,4.19,4.19,4.20
29.19,0.87,-3.32,0.87,-3.32,3.32,3.54,4.30,4.19,4.19,4.19
29.48,0.91,-3.28,0.91,-3.28,3.28,3.49,4.34,4.19,4.19,4.19
29.78,0.95,-3.24,0.95,-3.24,3.24,3.44,4.37,4.19,4.19,4.19
30.08,0.99,-3.21,0.99,-3.20,3.20,3.38,4.39,4.19,4.19,4.20
30.38,1.03,-3.16,1.03,-3.16,3.16,3.33,4.41,4.19,4.19,4.19
30.68,1.06,-3.12,1.06,-3.12,3.12,3.28,4.42,4.19,4.19,4.19
30.99,1.10,-3.09,1.10,-3.09,3.09,3.22,4.42,4.19,4.19,4.18
31.30,1.13,-3.05,1.13,-3.05,3.05,3.17,4.41,4.19,4.18,4.18
31.61,1.16,-3.02,1.16,-3.02,3.02,3.11,4.39,4.18,4.18,4.18
31.93,1.19,-2.98,1.19,-2.99,2.99,3.06,4.37,4.17,4.17,4.17
32.24,1.21,-2.96,1.21,-2.96,2.96,3.00,4.34,4.17,4.17,4.18
32.57,1.24,-2.92,1.24,-2.93,2.93,2.95,4.30,4.17,4.17,4.16
32.89,1.27,-2.90,1.27,-2.90,2.90,2.89,4.25,4.16,4.16,4.16
33.22,1.29,-2.87,1.29,-2.87,2.87,2.84,4.20,4.16,4.16,4.16
33.55,1.31,-2.84,1.31,-2.84,2.84,2.78,4.14,4.15,4.15,4.16
33.89,1.34,-2.82,1.34,-2.82,2.81,2.73,4.07,4.15,4.15,4.15
34.23,1.36,-2.78,1.36,-2.78,2.78,2.67,4.00,4.14,4.14,4.14
34.57,1.38,-2.76,1.38,-2.76,2.76,2.62,3.92,4.14,4.14,4.14
34.92,1.40,-2.72,1.40,-2.73,2.73,2.56,3.84,4.13,4.13,4.13
35.27,1.43,-2.71,1.43,-2.70,2.70,2.50,3.75,4.12,4.12,4.13
35.62,1.45,-2.66,1.45,-2.67,2.67,2.45,3.66,4.11,4.11,4.11
35.97,1.47,-2.64,1.47,-2.64,2.64,2.39,3.57,4.10,4.10,4.11
36.33,1.49,-2.61,1.49,-2.60,2.60,2.34,3.48,4.09,4.09,4.09
36.70,1.51,-2.57,1.51,-2.57,2.57,2.28,3.38,4.08,4.08,4.08
37.06,1.53,-2.54,1.53,-2.54,2.54,2.23,3.28,4.07,4.07,4.07
37.43,1.55,-2.51,1.55,-2.51,2.51,2.17,3.18,4.05,4.05,4.05
37.81,1.57,-2.47,1.56,-2.47,2.47,2.11,3.08,4.04,4.04,4.04
38.19,1.58,-2.44,1.58,-2.44,2.44,2.06,2.97,4.02,4.02,4.02
38.57,1.60,-2.41,1.60,-2.41,2.41,2.00,2.87,4.01,4.01,4.01
38.95,1.62,-2.38,1.62,-2.37,2.37,1.95,2.77,3.99,3.99,3.99
39.34,1.64,-2.33,1.64,-2.34,2.34,1.89,2.67,3.97,3.97,3.97
39.74,1.65,-2.30,1.65,-2.30,2.30,1.84,2.56,3.96,3.96,3.96
40.14,1.67,-2.27,1.67,-2.27,2.27,1.78,2.46,3.94,3.94,3.94
40.54,1.69,-2.23,1.69,-2.23,2.23,1.73,2.36,3.92,3.92,3.93
40.94,1.71,-2.19,1.71,-2.19,2.19,1.67,2.26,3.90,3.90,3.90
41.35,1.73,-2.15,1.73,-2.15,2.15,1.62,2.16,3.88,3.88,3.88
41.76,1.75,-2.11,1.75,-2.11,2.11,1.56,2.06,3.86,3.86,3.86
42.18,1.77,-2.07,1.77,-2.07,2.07,1.51,1.97,3.84,3.84,3.84
42.60,1.79,-2.02,1.79,-2.02,2.02,1.45,1.87,3.82,3.82,3.82
43.03,1.81,-1.98,1.81,-1.98,1.98,1.40,1.78,3.79,3.79,3.79
43.46,1.83,-1.94,1.83,-1.94,1.94,1.35,1.68,3.76,3.76,3.76
43.90,1.84,-1.89,1.84,-1.89,1.89,1.29,1.59,3.74,3.74,3.74
44.33,1.86,-1.85,1.86,-1.85,1.85,1.24,1.50,3.71,3.71,3.71
44.78,1.88,-1.80,1.88,-1.80,1.80,1.18,1.41,3.68,3.68,3.68
45.23,1.90,-1.77,1.90,-1.76,1.76,1.13,1.32,3.65,3.65,3.66
45.68,1.92,-1.71,1.92,-1.71,1.71,1.08,1.24,3.62,3.62,3.62
46.13,1.93,-1.65,1.93,-1.66,1.66,1.02,1.15,3.59,3.59,3.59
46.60,1.95,-1.61,1.95,-1.61,1.61,0.97,1.07,3.56,3.56,3.56
47.06,1.97,-1.56,1.97,-1.55,1.55,0.92,0.98,3.52,3.52,3.53
47.53,2.00,-1.50,2.00,-1.49,1.49,0.86,0.90,3.49,3.49,3.50
48.01,2.03,-1.42,2.03,-1.43,1.43,0.81,0.82,3.46,3.45,3.45
48.49,2.06,-1.36,2.05,-1.36,1.36,0.76,0.74,3.42,3.42,3.42
48.97,2.08,-1.29,2.08,-1.29,1.30,0.70,0.66,3.38,3.38,3.38
49.46,2.11,-1.23,2.11,-1.23,1.23,0.65,0.58,3.34,3.34,3.35
49.96,2.15,-1.15,2.15,-1.15,1.15,0.60,0.51,3.30,3.30,3.30
50.46,2.19,-1.07,2.19,-1.08,1.08,0.54,0.43,3.27,3.27,3.26
50.96,2.23,-1.00,2.23,-1.00,1.00,0.49,0.36,3.23,3.23,3.23
51.47,2.27,-0.93,2.27,-0.92,0.92,0.44,0.28,3.20,3.19,3.20
51.99,2.31,-0.84,2.31,-0.85,0.84,0.39,0.21,3.15,3.16,3.16
52.51,2.36,-0.76,2.36,-0.76,0.76,0.33,0.14,3.12,3.12,3.12
53.03,2.42,-0.68,2.42,-0.67,0.67,0.28,0.07,3.08,3.08,3.10
53.56,2.48,-0.58,2.48,-0.58,0.57,0.23,-0.00,3.05,3.05,3.05
54.10,2.53,-0.48,2.53,-0.48,0.48,0.17,-0.07,3.01,3.01,3.01
54.64,2.59,-0.38,2.59,-0.38,0.38,0.12,-0.14,2.97,2.97,2.97
55.18,2.65,-0.28,2.65,-0.28,0.29,0.07,-0.20,2.93,2.93,2.93
55.74,2.71,-0.18,2.71,-0.19,0.19,0.01,-0.27,2.90,2.90,2.89
56.29,2.77,-0.10,2.77,-0.09,0.09,-0.04,-0.33,2.86,2.86,2.86
56.86,2.83,-0.01,2.83,0.00,0.00,-0.09,-0.40,2.83,2.83,2.84
57.42,2.89,0.10,2.89,0.09,-0.09,-0.15,-0.46,2.80,2.80,2.79
58.00,2.95,0.19,2.95,0.18,-0.18,-0.20,-0.52,2.77,2.77,2.76
58.58,3.00,0.27,3.00,0.27,-0.27,-0.25,-0.58,2.73,2.73,2.74
59.16,3.06,0.35,3.06,0.35,-0.36,-0.31,-0.64,2.70,2.70,2.71
59.76,3.12,0.44,3.12,0.45,-0.46,-0.36,-0.69,2.66,2.66,2.68
60.35,3.17,0.55,3.18,0.55,-0.56,-0.41,-0.75,2.62,2.62,2.63
60.96,3.23,0.65,3.23,0.65,-0.65,-0.47,-0.80,2.58,2.58,2.58
61.57,3.29,0.76,3.28,0.76,-0.75,-0.52,-0.86,2.54,2.53,2.53
62.18,3.34,0.86,3.34,0.86,-0.85,-0.58,-0.91,2.49,2.49,2.48
62.80,3.38,0.95,3.38,0.95,-0.94,-0.63,-0.96,2.44,2.44,2.43
63.43,3.43,1.04,3.43,1.04,-1.04,-0.69,-1.01,2.39,2.39,2.39
64.07,3.48,1.13,3.48,1.13,-1.13,-0.74,-1.06,2.35,2.35,2.35
64.71,3.53,1.21,3.53,1.21,-1.21,-0.80,-1.11,2.31,2.31,2.32
65.35,3.57,1.29,3.57,1.29,-1.30,-0.85,-1.16,2.27,2.27,2.28
66.01,3.61,1.37,3.61,1.37,-1.38,-0.91,-1.20,2.24,2.24,2.24
66.67,3.66,1.45,3.66,1.45,-1.46,-0.97,-1.25,2.20,2.20,2.21
67.33,3.70,1.54,3.70,1.54,-1.53,-1.02,-1.29,2.16,2.16,2.16
68.01,3.74,1.62,3.74,1.62,-1.61,-1.08,-1.34,2.13,2.13,2.12
68.69,3.78,1.70,3.78,1.69,-1.69,-1.13,-1.38,2.09,2.09,2.08
69.37,3.81,1.76,3.81,1.77,-1.77,-1.19,-1.43,2.04,2.04,2.05
70.07,3.84,1.84,3.84,1.84,-1.84,-1.25,-1.47,2.00,2.00,2.00
70.77,3.87,1.91,3.87,1.91,-1.92,-1.31,-1.52,1.95,1.95,1.96
71.48,3.91,1.99,3.91,1.99,-1.99,-1.37,-1.56,1.91,1.91,1.92
72.19,3.94,2.07,3.94,2.07,-2.07,-1.42,-1.61,1.87,1.87,1.87
72.91,3.97,2.14,3.97,2.14,-2.14,-1.48,-1.66,1.83,1.83,1.82
73.64,3.99,2.22,3.99,2.22,-2.21,-1.54,-1.70,1.78,1.78,1.78
74.38,4.02,2.28,4.02,2.28,-2.28,-1.60,-1.75,1.74,1.74,1.74
75.12,4.05,2.35,4.05,2.35,-2.35,-1.66,-1.80,1.70,1.70,1.70
75.87,4.07,2.40,4.07,2.41,-2.41,-1.72,-1.85,1.66,1.66,1.67
76.63,4.10,2.47,4.10,2.47,-2.47,-1.78,-1.90,1.63,1.63,1.63
77.40,4.12,2.53,4.12,2.53,-2.53,-1.84,-1.95,1.59,1.59,1.60
78.17,4.15,2.59,4.15,2.59,-2.59,-1.90,-2.00,1.56,1.56,1.55
78.95,4.17,2.64,4.17,2.64,-2.64,-1.97,-2.05,1.53,1.53,1.53
79.74,4.20,2.70,4.20,2.70,-2.70,-2.03,-2.11,1.50,1.50,1.50
80.54,4.22,2.76,4.22,2.76,-2.76,-2.09,-2.17,1.46,1.46,1.46
81.35,4.25,2.82,4.24,2.81,-2.82,-2.15,-2.22,1.43,1.43,1.43
82.16,4.27,2.87,4.27,2.87,-2.87,-2.22,-2.29,1.39,1.39,1.40
82.98,4.29,2.93,4.29,2.93,-2.93,-2.28,-2.35,1.36,1.36,1.36
83.81,4.31,2.99,4.31,2.99,-2.99,-2.35,-2.41,1.32,1.32,1.32
84.65,4.33,3.05,4.33,3.05,-3.04,-2.41,-2.48,1.29,1.29,1.29
85.50,4.35,3.11,4.35,3.10,-3.10,-2.48,-2.55,1.25,1.25,1.25
86.35,4.38,3.16,4.38,3.16,-3.16,-2.54,-2.62,1.22,1.22,1.22
87.22,4.40,3.21,4.40,3.21,-3.22,-2.61,-2.69,1.18,1.18,1.19
88.09,4.42,3.27,4.42,3.27,-3.27,-2.68,-2.76,1.14,1.14,1.14
88.97,4.43,3.32,4.43,3.33,-3.33,-2.74,-2.84,1.11,1.11,1.11
89.86,4.45,3.38,4.45,3.38,-3.38,-2.81,-2.92,1.07,1.07,1.07
90.76,4.47,3.44,4.47,3.44,-3.44,-2.88,-3.00,1.03,1.03,1.04
91.66,4.49,3.50,4.49,3.50,-3.49,-2.95,-3.08,1.00,1.00,0.99
92.58,4.51,3.55,4.51,3.55,-3.55,-3.02,-3.17,0.96,0.96,0.96
93.51,4.53,3.61,4.53,3.61,-3.61,-3.09,-3.25,0.92,0.92,0.92
94.44,4.55,3.66,4.55,3.67,-3.67,-3.16,-3.34,0.88,0.88,0.89
95.39,4.57,3.73,4.57,3.73,-3.73,-3.23,-3.43,0.84,0.84,0.84
96.34,4.59,3.79,4.58,3.79,-3.79,-3.30,-3.53,0.80,0.80,0.79
97.30,4.60,3.84,4.60,3.85,-3.84,-3.37,-3.62,0.76,0.76,0.76
98.28,4.61,3.90,4.62,3.91,-3.90,-3.44,-3.72,0.71,0.71,0.71
99.26,4.63,3.96,4.63,3.96,-3.96,-3.52,-3.81,0.67,0.67,0.66
100.25,4.64,4.02,4.64,4.01,-4.01,-3.59,-3.91,0.63,0.63,0.63
101.25,4.66,4.06,4.66,4.06,-4.06,-3.66,-4.01,0.60,0.60,0.60
102.27,4.67,4.11,4.67,4.11,-4.11,-3.74,-4.11,0.56,0.56,0.56
103.29,4.68,4.16,4.68,4.16,-4.16,-3.81,-4.21,0.53,0.53,0.52
104.32,4.70,4.20,4.70,4.20,-4.21,-3.89,-4.32,0.49,0.49,0.50
105.37,4.71,4.25,4.71,4.25,-4.25,-3.96,-4.42,0.46,0.46,0.46
106.42,4.72,4.29,4.72,4.30,-4.30,-4.04,-4.52,0.42,0.42,0.43
107.48,4.74,4.36,4.74,4.35,-4.35,-4.11,-4.62,0.39,0.39,0.38
108.56,4.75,4.40,4.75,4.40,-4.40,-4.19,-4.72,0.35,0.35,0.35
109.64,4.76,4.45,4.76,4.45,-4.45,-4.27,-4.82,0.32,0.32,0.32
110.74,4.78,4.50,4.78,4.50,-4.50,-4.34,-4.91,0.28,0.28,0.28
111.85,4.79,4.55,4.79,4.55,-4.55,-4.42,-5.01,0.24,0.24,0.24
112.97,4.80,4.60,4.80,4.60,-4.60,-4.50,-5.10,0.20,0.20,0.21
114.10,4.82,4.65,4.82,4.65,-4.66,-4.57,-5.18,0.16,0.16,0.17
115.24,4.83,4.71,4.83,4.71,-4.71,-4.65,-5.27,0.12,0.12,0.12
116.39,4.85,4.77,4.85,4.77,-4.77,-4.73,-5.34,0.08,0.08,0.08
117.55,4.86,4.82,4.86,4.83,-4.82,-4.81,-5.42,0.05,0.04,0.04
118.73,4.88,4.88,4.88,4.88,-4.87,-4.88,-5.49,0.01,0.01,-0.00
119.92,4.89,4.93,4.89,4.92,-4.92,-4.96,-5.55,-0.03,-0.03,-0.04
121.12,4.90,4.96,4.90,4.97,-4.97,-5.04,-5.61,-0.07,-0.07,-0.06
122.33,4.91,5.02,4.91,5.02,-5.02,-5.12,-5.66,-0.11,-0.11,-0.11
123.55,4.93,5.07,4.93,5.06,-5.07,-5.19,-5.70,-0.14,-0.14,-0.14
124.79,4.94,5.11,4.94,5.11,-5.12,-5.27,-5.74,-0.18,-0.18,-0.17
126.03,4.95,5.16,4.95,5.16,-5.16,-5.35,-5.77,-0.21,-0.21,-0.21
127.29,4.96,5.21,4.96,5.21,-5.21,-5.42,-5.80,-0.25,-0.25,-0.25
128.57,4.97,5.26,4.97,5.26,-5.26,-5.50,-5.82,-0.29,-0.29,-0.29
129.85,4.98,5.31,4.98,5.31,-5.31,-5.57,-5.83,-0.33,-0.33,-0.33
131.15,4.99,5.36,4.99,5.36,-5.36,-5.65,-5.84,-0.37,-0.37,-0.37
132.46,5.00,5.41,5.00,5.41,-5.41,-5.72,-5.84,-0.41,-0.41,-0.41
133.79,5.00,5.45,5.01,5.45,-5.45,-5.79,-5.84,-0.45,-0.45,-0.45
135.12,5.01,5.50,5.01,5.49,-5.49,-5.87,-5.83,-0.48,-0.48,-0.49
136.48,5.02,5.53,5.02,5.53,-5.53,-5.94,-5.82,-0.51,-0.51,-0.51
137.84,5.02,5.57,5.02,5.57,-5.57,-6.01,-5.80,-0.55,-0.55,-0.55
139.22,5.02,5.61,5.02,5.60,-5.60,-6.08,-5.79,-0.58,-0.58,-0.59
140.61,5.02,5.63,5.02,5.64,-5.63,-6.14,-5.77,-0.62,-0.62,-0.61
142.02,5.02,5.67,5.02,5.67,-5.67,-6.21,-5.74,-0.65,-0.65,-0.65
143.44,5.02,5.70,5.02,5.69,-5.69,-6.28,-5.72,-0.68,-0.68,-0.68
144.87,5.02,5.72,5.02,5.72,-5.72,-6.34,-5.70,-0.70,-0.70,-0.70
146.32,5.02,5.75,5.02,5.75,-5.75,-6.40,-5.67,-0.73,-0.73,-0.73
147.78,5.02,5.78,5.02,5.78,-5.78,-6.46,-5.65,-0.76,-0.76,-0.76
149.26,5.02,5.81,5.02,5.81,-5.81,-6.52,-5.62,-0.79,-0.79,-0.79
150.75,5.02,5.84,5.02,5.84,-5.84,-6.58,-5.60,-0.82,-0.82,-0.83
152.26,5.02,5.86,5.02,5.87,-5.86,-6.63,-5.58,-0.85,-0.85,-0.84
153.78,5.02,5.90,5.02,5.89,-5.89,-6.68,-5.56,-0.88,-0.88,-0.88
155.32,5.02,5.92,5.02,5.92,-5.93,-6.73,-5.54,-0.91,-0.91,-0.90
156.88,5.02,5.96,5.02,5.96,-5.96,-6.78,-5.53,-0.94,-0.94,-0.94
158.44,5.02,5.99,5.02,5.99,-5.99,-6.82,-5.52,-0.97,-0.97,-0.97
160.03,5.02,6.02,5.02,6.02,-6.02,-6.87,-5.51,-1.00,-1.00,-1.00
161.63,5.02,6.05,5.02,6.06,-6.06,-6.91,-5.50,-1.04,-1.04,-1.03
163.24,5.02,6.09,5.02,6.09,-6.09,-6.94,-5.50,-1.07,-1.07,-1.07
164.88,5.02,6.12,5.02,6.13,-6.12,-6.98,-5.50,-1.11,-1.11,-1.10
166.53,5.02,6.16,5.02,6.16,-6.16,-7.01,-5.51,-1.14,-1.14,-1.14
168.19,5.02,6.19,5.02,6.19,-6.19,-7.04,-5.51,-1.18,-1.18,-1.17
169.87,5.02,6.23,5.02,6.23,-6.23,-7.07,-5.53,-1.21,-1.21,-1.21
171.57,5.02,6.27,5.02,6.26,-6.26,-7.09,-5.54,-1.24,-1.24,-1.25
173.29,5.02,6.30,5.02,6.30,-6.30,-7.11,-5.57,-1.28,-1.28,-1.28
175.02,5.01,6.33,5.01,6.33,-6.33,-7.13,-5.59,-1.32,-1.32,-1.32
176.77,5.01,6.36,5.01,6.36,-6.36,-7.14,-5.62,-1.35,-1.35,-1.35
178.54,5.00,6.39,5.00,6.39,-6.39,-7.15,-5.65,-1.39,-1.39,-1.39
180.32,5.00,6.43,5.00,6.42,-6.43,-7.16,-5.69,-1.43,-1.43,-1.43
182.13,5.00,6.46,5.00,6.46,-6.46,-7.17,-5.74,-1.46,-1.46,-1.46
183.95,4.99,6.48,4.99,6.49,-6.49,-7.17,-5.78,-1.50,-1.50,-1.49
185.79,4.99,6.52,4.99,6.52,-6.52,-7.17,-5.83,-1.53,-1.53,-1.53
187.65,4.98,6.55,4.98,6.55,-6.55,-7.17,-5.89,-1.57,-1.57,-1.57
189.52,4.98,6.58,4.98,6.58,-6.58,-7.16,-5.95,-1.60,-1.60,-1.61
191.42,4.97,6.61,4.97,6.61,-6.61,-7.15,-6.01,-1.64,-1.64,-1.63
193.33,4.97,6.64,4.97,6.64,-6.64,-7.14,-6.08,-1.67,-1.67,-1.67
195.27,4.97,6.68,4.97,6.68,-6.67,-7.13,-6.15,-1.71,-1.71,-1.71
197.22,4.96,6.71,4.96,6.71,-6.70,-7.11,-6.22,-1.74,-1.74,-1.75
199.19,4.96,6.73,4.96,6.74,-6.73,-7.09,-6.30,-1.78,-1.78,-1.77
201.18,4.95,6.76,4.95,6.76,-6.76,-7.07,-6.38,-1.81,-1.81,-1.81
203.19,4.95,6.79,4.95,6.79,-6.79,-7.05,-6.46,-1.84,-1.84,-1.84
205.23,4.95,6.81,4.95,6.81,-6.82,-7.03,-6.54,-1.87,-1.87,-1.86
207.28,4.95,6.84,4.95,6.84,-6.84,-7.00,-6.63,-1.89,-1.89,-1.89
209.35,4.95,6.87,4.95,6.86,-6.86,-6.98,-6.71,-1.91,-1.91,-1.92
211.44,4.94,6.88,4.94,6.88,-6.88,-6.95,-6.80,-1.94,-1.94,-1.94
213.56,4.93,6.89,4.93,6.90,-6.89,-6.93,-6.88,-1.97,-1.97,-1.97
215.69,4.91,6.90,4.91,6.90,-6.91,-6.90,-6.97,-2.00,-2.00,-1.99
217.85,4.90,6.91,4.90,6.92,-6.92,-6.87,-7.05,-2.02,-2.02,-2.01
220.03,4.88,6.93,4.88,6.93,-6.93,-6.85,-7.13,-2.04,-2.04,-2.04
222.23,4.87,6.94,4.87,6.94,-6.94,-6.82,-7.21,-2.07,-2.07,-2.07
224.45,4.86,6.94,4.86,6.95,-6.94,-6.80,-7.28,-2.09,-2.08,-2.09
226.70,4.84,6.95,4.84,6.95,-6.95,-6.78,-7.35,-2.10,-2.10,-2.11
228.96,4.83,6.94,4.83,6.95,-6.95,-6.76,-7.42,-2.12,-2.12,-2.12
231.25,4.81,6.94,4.81,6.95,-6.95,-6.74,-7.47,-2.14,-2.14,-2.14
233.57,4.79,6.94,4.79,6.95,-6.95,-6.73,-7.52,-2.16,-2.16,-2.16
235.90,4.77,6.94,4.77,6.94,-6.94,-6.73,-7.56,-2.17,-2.17,-2.18
238.26,4.75,6.94,4.74,6.93,-6.93,-6.73,-7.59,-2.18,-2.19,-2.20
240.64,4.72,6.91,4.72,6.92,-6.92,-6.73,-7.61,-2.20,-2.20,-2.19
243.05,4.68,6.90,4.68,6.90,-6.90,-6.74,-7.62,-2.22,-2.22,-2.21
245.48,4.65,6.88,4.65,6.88,-6.88,-6.76,-7.62,-2.23,-2.23,-2.23
247.93,4.61,6.86,4.61,6.86,-6.86,-6.77,-7.61,-2.24,-2.24,-2.25
250.41,4.58,6.83,4.58,6.83,-6.83,-6.79,-7.58,-2.25,-2.25,-2.25
252.92,4.54,6.80,4.54,6.80,-6.80,-6.81,-7.55,-2.26,-2.26,-2.25
255.45,4.50,6.77,4.50,6.76,-6.77,-6.81,-7.50,-2.27,-2.27,-2.27
258.00,4.45,6.73,4.45,6.73,-6.73,-6.80,-7.44,-2.28,-2.28,-2.28
260.58,4.40,6.69,4.41,6.69,-6.69,-6.78,-7.37,-2.28,-2.28,-2.28
263.19,4.36,6.65,4.36,6.65,-6.65,-6.73,-7.29,-2.29,-2.29,-2.29
265.82,4.31,6.60,4.31,6.60,-6.60,-6.67,-7.20,-2.29,-2.29,-2.30
268.48,4.25,6.55,4.25,6.55,-6.55,-6.58,-7.10,-2.30,-2.30,-2.30
271.16,4.18,6.49,4.19,6.49,-6.50,-6.49,-6.99,-2.31,-2.31,-2.31
273.87,4.12,6.43,4.12,6.44,-6.44,-6.39,-6.87,-2.32,-2.32,-2.31
276.61,4.06,6.38,4.06,6.38,-6.38,-6.29,-6.74,-2.32,-2.32,-2.32
279.38,4.00,6.33,4.00,6.32,-6.32,-6.19,-6.61,-2.32,-2.32,-2.33
282.17,3.93,6.25,3.93,6.25,-6.25,-6.10,-6.48,-2.32,-2.32,-2.33
284.99,3.85,6.17,3.85,6.17,-6.17,-6.02,-6.34,-2.33,-2.32,-2.32
287.84,3.77,6.09,3.77,6.10,-6.10,-5.94,-6.19,-2.33,-2.32,-2.32
290.72,3.69,6.02,3.69,6.02,-6.02,-5.87,-6.04,-2.32,-2.32,-2.33
293.63,3.62,5.94,3.61,5.94,-5.93,-5.80,-5.89,-2.32,-2.32,-2.32
296.57,3.53,5.84,3.52,5.85,-5.84,-5.74,-5.74,-2.32,-2.32,-2.32
299.53,3.43,5.75,3.43,5.75,-5.75,-5.67,-5.59,-2.32,-2.32,-2.32
302.53,3.34,5.65,3.34,5.65,-5.66,-5.61,-5.44,-2.32,-2.32,-2.31
305.55,3.24,5.56,3.24,5.56,-5.56,-5.54,-5.28,-2.32,-2.32,-2.32
308.61,3.15,5.46,3.14,5.46,-5.46,-5.46,-5.13,-2.31,-2.32,-2.31
311.69,3.04,5.36,3.04,5.35,-5.36,-5.37,-4.98,-2.31,-2.31,-2.31
314.81,2.94,5.24,2.94,5.25,-5.25,-5.27,-4.83,-2.31,-2.31,-2.31
317.96,2.83,5.14,2.83,5.14,-5.14,-5.16,-4.68,-2.31,-2.31,-2.31
321.14,2.73,5.03,2.73,5.03,-5.03,-5.04,-4.53,-2.30,-2.30,-2.30
324.35,2.62,4.93,2.62,4.92,-4.92,-4.91,-4.38,-2.30,-2.30,-2.31
327.59,2.51,4.80,2.51,4.80,-4.80,-4.78,-4.24,-2.29,-2.30,-2.29
330.87,2.39,4.68,2.39,4.68,-4.68,-4.64,-4.09,-2.29,-2.29,-2.29
334.18,2.27,4.56,2.27,4.56,-4.56,-4.50,-3.95,-2.29,-2.29,-2.29
337.52,2.15,4.44,2.15,4.44,-4.44,-4.36,-3.81,-2.29,-2.29,-2.29
340.90,2.03,4.31,2.03,4.31,-4.31,-4.22,-3.68,-2.28,-2.28,-2.28
344.30,1.91,4.18,1.91,4.18,-4.18,-4.08,-3.54,-2.27,-2.27,-2.27
347.75,1.79,4.05,1.79,4.05,-4.05,-3.95,-3.41,-2.27,-2.27,-2.26
351.23,1.66,3.92,1.66,3.92,-3.92,-3.82,-3.28,-2.26,-2.26,-2.26
